length,min_required,reason,track_id
1,4,min_track_length,1
1,4,min_track_length,2
1,4,min_track_length,3
1,4,min_track_length,4
1,4,min_track_length,5
1,4,min_track_length,8
2,4,min_track_length,9
1,4,min_track_length,11
1,4,min_track_length,12
1,4,min_track_length,13
1,4,min_track_length,14
1,4,min_track_length,15
1,4,min_track_length,16
1,4,min_track_length,17
1,4,min_track_length,18
1,4,min_track_length,19
1,4,min_track_length,20
1,4,min_track_length,21
1,4,min_track_length,22
2,4,min_track_length,23
1,4,min_track_length,24
1,4,min_track_length,25
1,4,min_track_length,26
1,4,min_track_length,27
1,4,min_track_length,28
1,4,min_track_length,29
1,4,min_track_length,30
1,4,min_track_length,31
2,4,min_track_length,32
1,4,min_track_length,33
1,4,min_track_length,34
1,4,min_track_length,35
1,4,min_track_length,36
1,4,min_track_length,37
1,4,min_track_length,38
1,4,min_track_length,39
1,4,min_track_length,40
1,4,min_track_length,41
1,4,min_track_length,42
1,4,min_track_length,43
1,4,min_track_length,44
1,4,min_track_length,45
1,4,min_track_length,46
1,4,min_track_length,47
1,4,min_track_length,48
1,4,min_track_length,49
1,4,min_track_length,50
2,4,min_track_length,51
1,4,min_track_length,52
1,4,min_track_length,53
1,4,min_track_length,54
1,4,min_track_length,55
1,4,min_track_length,56
1,4,min_track_length,57
1,4,min_track_length,58
1,4,min_track_length,59
1,4,min_track_length,60
1,4,min_track_length,61
1,4,min_track_length,62
3,4,min_track_length,63
3,4,min_track_length,64
1,4,min_track_length,66
1,4,min_track_length,67
1,4,min_track_length,69
1,4,min_track_length,70
2,4,min_track_length,71
1,4,min_track_length,72
1,4,min_track_length,73
1,4,min_track_length,74
1,4,min_track_length,75
1,4,min_track_length,76
1,4,min_track_length,77
1,4,min_track_length,78
1,4,min_track_length,79
1,4,min_track_length,80
1,4,min_track_length,81
1,4,min_track_length,82
1,4,min_track_length,83
1,4,min_track_length,84
1,4,min_track_length,85
1,4,min_track_length,86
1,4,min_track_length,87
1,4,min_track_length,88
1,4,min_track_length,89
1,4,min_track_length,90
1,4,min_track_length,91
1,4,min_track_length,92
1,4,min_track_length,94
3,4,min_track_length,96
3,4,min_track_length,97
1,4,min_track_length,98
1,4,min_track_length,99
1,4,min_track_length,100
1,4,min_track_length,101
1,4,min_track_length,102
1,4,min_track_length,103
1,4,min_track_length,104
1,4,min_track_length,105
1,4,min_track_length,106
1,4,min_track_length,107
1,4,min_track_length,108
1,4,min_track_length,109
1,4,min_track_length,110
1,4,min_track_length,111
1,4,min_track_length,112
1,4,min_track_length,113
1,4,min_track_length,114
1,4,min_track_length,115
1,4,min_track_length,116
1,4,min_track_length,117
1,4,min_track_length,118
1,4,min_track_length,119
3,4,min_track_length,120
2,4,min_track_length,121
3,4,min_track_length,122
1,4,min_track_length,124
2,4,min_track_length,125
2,4,min_track_length,126
2,4,min_track_length,127
1,4,min_track_length,128
1,4,min_track_length,130
1,4,min_track_length,131
2,4,min_track_length,132
1,4,min_track_length,134
1,4,min_track_length,135
1,4,min_track_length,136
2,4,min_track_length,137
1,4,min_track_length,138
1,4,min_track_length,139
1,4,min_track_length,140
1,4,min_track_length,141
1,4,min_track_length,142
1,4,min_track_length,143
1,4,min_track_length,144
2,4,min_track_length,145
1,4,min_track_length,146
1,4,min_track_length,147
1,4,min_track_length,148
1,4,min_track_length,149
1,4,min_track_length,150
1,4,min_track_length,151
1,4,min_track_length,152
1,4,min_track_length,153
1,4,min_track_length,154
1,4,min_track_length,155
1,4,min_track_length,156
1,4,min_track_length,157
1,4,min_track_length,158
1,4,min_track_length,159
1,4,min_track_length,162
1,4,min_track_length,163
1,4,min_track_length,164
1,4,min_track_length,165
2,4,min_track_length,166
3,4,min_track_length,167
1,4,min_track_length,168
1,4,min_track_length,169
1,4,min_track_length,170
1,4,min_track_length,171
1,4,min_track_length,172
1,4,min_track_length,173
1,4,min_track_length,174
1,4,min_track_length,175
1,4,min_track_length,176
1,4,min_track_length,177
1,4,min_track_length,178
1,4,min_track_length,179
2,4,min_track_length,180
3,4,min_track_length,181
1,4,min_track_length,182
2,4,min_track_length,183
1,4,min_track_length,185
1,4,min_track_length,186
1,4,min_track_length,187
1,4,min_track_length,188
1,4,min_track_length,189
1,4,min_track_length,190
1,4,min_track_length,191
1,4,min_track_length,192
1,4,min_track_length,194
1,4,min_track_length,196
2,4,min_track_length,197
1,4,min_track_length,198
1,4,min_track_length,199
1,4,min_track_length,200
1,4,min_track_length,201
1,4,min_track_length,202
1,4,min_track_length,203
1,4,min_track_length,204
2,4,min_track_length,205
1,4,min_track_length,206
1,4,min_track_length,207
1,4,min_track_length,211
1,4,min_track_length,212
1,4,min_track_length,213
1,4,min_track_length,214
1,4,min_track_length,215
2,4,min_track_length,216
1,4,min_track_length,217
1,4,min_track_length,218
1,4,min_track_length,219
2,4,min_track_length,220
1,4,min_track_length,221
1,4,min_track_length,222
1,4,min_track_length,223
1,4,min_track_length,224
1,4,min_track_length,225
1,4,min_track_length,226
1,4,min_track_length,227
1,4,min_track_length,228
1,4,min_track_length,229
1,4,min_track_length,230
2,4,min_track_length,231
2,4,min_track_length,235
2,4,min_track_length,236
2,4,min_track_length,238
1,4,min_track_length,239
1,4,min_track_length,240
1,4,min_track_length,241
2,4,min_track_length,242
1,4,min_track_length,243
1,4,min_track_length,244
1,4,min_track_length,245
1,4,min_track_length,246
1,4,min_track_length,247
1,4,min_track_length,248
1,4,min_track_length,249
1,4,min_track_length,250
2,4,min_track_length,251
1,4,min_track_length,253
1,4,min_track_length,254
1,4,min_track_length,255
1,4,min_track_length,256
1,4,min_track_length,257
1,4,min_track_length,258
3,4,min_track_length,259
1,4,min_track_length,261
1,4,min_track_length,262
2,4,min_track_length,263
1,4,min_track_length,264
1,4,min_track_length,265
2,4,min_track_length,266
1,4,min_track_length,267
1,4,min_track_length,268
1,4,min_track_length,269
1,4,min_track_length,270
1,4,min_track_length,271
1,4,min_track_length,272
1,4,min_track_length,273
1,4,min_track_length,274
1,4,min_track_length,275
1,4,min_track_length,276
1,4,min_track_length,277
1,4,min_track_length,278
1,4,min_track_length,279
1,4,min_track_length,280
1,4,min_track_length,281
1,4,min_track_length,283
1,4,min_track_length,284
1,4,min_track_length,285
1,4,min_track_length,286
1,4,min_track_length,287
1,4,min_track_length,288
1,4,min_track_length,289
1,4,min_track_length,290
1,4,min_track_length,291
1,4,min_track_length,292
1,4,min_track_length,293
1,4,min_track_length,294
1,4,min_track_length,295
1,4,min_track_length,296
1,4,min_track_length,297
1,4,min_track_length,298
1,4,min_track_length,299
1,4,min_track_length,300
2,4,min_track_length,301
1,4,min_track_length,302
1,4,min_track_length,303
1,4,min_track_length,304
1,4,min_track_length,305
1,4,min_track_length,306
1,4,min_track_length,307
1,4,min_track_length,308
1,4,min_track_length,309
1,4,min_track_length,310
1,4,min_track_length,311
1,4,min_track_length,312
1,4,min_track_length,313
1,4,min_track_length,314
1,4,min_track_length,315
1,4,min_track_length,316
1,4,min_track_length,317
1,4,min_track_length,318
1,4,min_track_length,319
1,4,min_track_length,320
1,4,min_track_length,321
1,4,min_track_length,322
1,4,min_track_length,323
1,4,min_track_length,324
3,4,min_track_length,325
1,4,min_track_length,326
1,4,min_track_length,327
1,4,min_track_length,328
1,4,min_track_length,329
1,4,min_track_length,330
1,4,min_track_length,331
1,4,min_track_length,332
1,4,min_track_length,333
1,4,min_track_length,334
1,4,min_track_length,335
1,4,min_track_length,336
1,4,min_track_length,337
1,4,min_track_length,338
1,4,min_track_length,339
1,4,min_track_length,340
1,4,min_track_length,341
1,4,min_track_length,342
1,4,min_track_length,343
1,4,min_track_length,344
1,4,min_track_length,345
1,4,min_track_length,346
1,4,min_track_length,347
1,4,min_track_length,348
1,4,min_track_length,349
2,4,min_track_length,350
1,4,min_track_length,351
1,4,min_track_length,352
1,4,min_track_length,353
1,4,min_track_length,354
1,4,min_track_length,355
2,4,min_track_length,356
1,4,min_track_length,357
1,4,min_track_length,358
1,4,min_track_length,359
1,4,min_track_length,360
2,4,min_track_length,362
3,4,min_track_length,363
2,4,min_track_length,364
2,4,min_track_length,365
1,4,min_track_length,366
1,4,min_track_length,367
1,4,min_track_length,368
1,4,min_track_length,369
1,4,min_track_length,370
1,4,min_track_length,371
2,4,min_track_length,372
1,4,min_track_length,374
1,4,min_track_length,375
1,4,min_track_length,376
1,4,min_track_length,377
1,4,min_track_length,378
1,4,min_track_length,379
1,4,min_track_length,380
1,4,min_track_length,381
2,4,min_track_length,382
1,4,min_track_length,383
1,4,min_track_length,384
1,4,min_track_length,385
1,4,min_track_length,386
1,4,min_track_length,387
1,4,min_track_length,388
1,4,min_track_length,389
1,4,min_track_length,390
1,4,min_track_length,391
1,4,min_track_length,392
1,4,min_track_length,393
1,4,min_track_length,394
1,4,min_track_length,395
1,4,min_track_length,396
1,4,min_track_length,397
1,4,min_track_length,398
1,4,min_track_length,399
1,4,min_track_length,400
1,4,min_track_length,401
1,4,min_track_length,402
1,4,min_track_length,403
1,4,min_track_length,404
1,4,min_track_length,405
1,4,min_track_length,406
1,4,min_track_length,407
2,4,min_track_length,408
1,4,min_track_length,409
1,4,min_track_length,410
1,4,min_track_length,411
1,4,min_track_length,412
1,4,min_track_length,413
1,4,min_track_length,414
2,4,min_track_length,415
2,4,min_track_length,416
1,4,min_track_length,417
1,4,min_track_length,418
1,4,min_track_length,419
1,4,min_track_length,420
1,4,min_track_length,421
1,4,min_track_length,422
1,4,min_track_length,423
1,4,min_track_length,424
1,4,min_track_length,425
